group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,1,“cửa hàng” là từ nào?,Cửa hàng,Chọn từ tiếng Nhật phù hợp.,みせ,レストラン,にわ,がっこう
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,2,“nhà hàng” là từ nào?,Nhà hàng,Chọn từ tiếng Nhật phù hợp.,レストラン,みせ,にわ,スーパー
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,3,“vườn” là từ nào?,Vườn,Chọn từ tiếng Nhật phù hợp.,にわ,みせ,レストラン,としょかん
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,4,“bài tập về nhà” là từ nào?,Bài tập về nhà,Chọn từ tiếng Nhật phù hợp.,しゅくだい,レポート,手紙（てがみ）,写真（しゃしん）
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,5,“tennis” là từ nào?,Tennis,Chọn từ tiếng Nhật phù hợp.,テニス,サッカー,おはなみ,しゅくだい
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,6,“bóng đá” là từ nào?,Bóng đá,Chọn từ tiếng Nhật phù hợp.,サッカー,テニス,おはなみ,レポート
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,7,“ngắm hoa” là từ nào?,Ngắm hoa,Chọn từ tiếng Nhật phù hợp.,おはなみ,テニス,サッカー,にわ
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,8,“cùng nhau” là từ nào?,Cùng nhau,Chọn từ tiếng Nhật phù hợp.,いっしょに,ちょっと,いつも,ときどき
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,9,“luôn luôn” là từ nào?,Luôn luôn,Chọn từ tiếng Nhật phù hợp.,いつも,ときどき,それから,ちょっと
11,Việt → Nhật / địa điểm và hoạt động,Mina bài 6,10,“thỉnh thoảng” là từ nào?,Thỉnh thoảng,Chọn từ tiếng Nhật phù hợp.,ときどき,いつも,それから,いっしょに
