group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,1,“sốt” là từ nào?,sốt,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,ねつ,かぜ,びょうき,いたい
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,2,“bệnh” là từ nào?,bệnh,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,びょうき,くすり,ねつ,かぜ
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,3,“thuốc” là từ nào?,thuốc,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,くすり,びょうき,ほけんしょう,びょういん
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,4,“bồn tắm / tắm” là từ nào?,bồn tắm / tắm,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,おふろ,うわぎ,したぎ,のど
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,5,“áo khoác” là từ nào?,áo khoác,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,うわぎ,したぎ,おふろ,くすり
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,6,“đồ lót” là từ nào?,đồ lót,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,したぎ,うわぎ,ほけんしょう,ねつ
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,7,“cổ họng” là từ nào?,cổ họng,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,のど,いたい,かぜ,ねつ
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,8,“đau” là từ nào?,đau,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt.,いたい,のど,だいじょうぶ,あぶない
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,9,“bị sao vậy?” là câu nào?,bị sao vậy?,Chọn câu tiếng Nhật phù hợp với nghĩa tiếng Việt.,どうしましたか,おだいじに,ですから,それから
7,Việt → Nhật / bệnh viện và câu nói,Mina bài 17,10,“giữ gìn sức khỏe nhé” là câu nào?,giữ gìn sức khỏe nhé,Chọn câu tiếng Nhật phù hợp với nghĩa tiếng Việt.,おだいじに,どうしましたか,かぜを ひきました,のどが いたいです
