group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
2,Nghề nghiệp / trường học,Mina bài 1,1,先生（せんせい） nghĩa là gì?,Sensei(sensei) nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,học sinh,giáo viên / thầy cô,bác sĩ,nhân viên công ty
2,Nghề nghiệp / trường học,Mina bài 1,2,きょうし nghĩa là gì?,Kyoushi nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,giáo viên,sinh viên,kỹ sư,nhà nghiên cứu
2,Nghề nghiệp / trường học,Mina bài 1,3,学生（がくせい） nghĩa là gì?,Gakusei(gakusei) nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,nhân viên ngân hàng,học sinh / sinh viên,bác sĩ,giáo viên
2,Nghề nghiệp / trường học,Mina bài 1,4,かいしゃいん nghĩa là gì?,Kaishain nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,nhân viên công ty,nhân viên ngân hàng,nhà nghiên cứu,kỹ sư
2,Nghề nghiệp / trường học,Mina bài 1,5,しゃいん nghĩa là gì?,Shain nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,nhân viên của công ty...,bác sĩ,giáo viên,sinh viên
2,Nghề nghiệp / trường học,Mina bài 1,6,ぎんこういん nghĩa là gì?,Ginkouin nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,nhân viên công ty,nhân viên ngân hàng,kỹ sư,nhà nghiên cứu
2,Nghề nghiệp / trường học,Mina bài 1,7,いしゃ nghĩa là gì?,Isha nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,bác sĩ,giáo viên,nhân viên,sinh viên
2,Nghề nghiệp / trường học,Mina bài 1,8,けんきゅうしゃ nghĩa là gì?,Kenkyuusha nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,kỹ sư,nhà nghiên cứu,bác sĩ,nhân viên ngân hàng
2,Nghề nghiệp / trường học,Mina bài 1,9,エンジニア nghĩa là gì?,Enjinia nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,giáo viên,kỹ sư,sinh viên,bác sĩ
2,Nghề nghiệp / trường học,Mina bài 1,10,大学（だいがく） nghĩa là gì?,Daigaku(daigaku) nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,bệnh viện,công ty,đại học,ngân hàng
