group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
8,Ôn tập tổng hợp,Từ vựng cơ bản,1,この【青い】シャツは たかいです。,Cái áo màu xanh này đắt.,あおい,あかい,くろい,しろい
8,Ôn tập tổng hợp,Từ vựng cơ bản,2,【会社】の まえに バスていが あります。,Trước công ty có trạm xe buýt.,かいしゃ,がっこう,えき,みせ
8,Ôn tập tổng hợp,Từ vựng cơ bản,3,【手紙】を かきました。,Tôi đã viết thư.,てがみ,しんぶん,ほん,しゃしん
8,Ôn tập tổng hợp,Từ vựng cơ bản,4,【姉】は えいごが じょうずです。,Chị gái tôi giỏi tiếng Anh.,あね,あに,はは,ちち
8,Ôn tập tổng hợp,Từ vựng cơ bản,5,この りんごは【二百】えんです。,Quả táo này giá 200 yên.,にひゃく,にびゃく,にぴゃく,にしゃく
8,Ôn tập tổng hợp,Từ vựng cơ bản,6,【月】ようびに かいぎが あります。,Thứ Hai có cuộc họp.,げつようび,どようび,にちようび,かようび
8,Ôn tập tổng hợp,Từ vựng cơ bản,7,【来月】りょこうします。,Tháng sau tôi sẽ đi du lịch.,らいげつ,せんげつ,こんげつ,まいつき
8,Ôn tập tổng hợp,Từ vựng cơ bản,8,【牛乳】を のみます。,Tôi uống sữa.,ぎゅうにゅう,おちゃ,みず,さけ
8,Ôn tập tổng hợp,Từ vựng cơ bản,9,へやの【中】で べんきょうします。,Tôi học trong phòng.,なか,そと,うえ,した
8,Ôn tập tổng hợp,Từ vựng cơ bản,10,【口】を あけてください。,Hãy mở miệng.,くち,め,みみ,はな
