group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
14,Đọc kanji,Mina bài 21,1,思います đọc là gì?,Imasu c l g?,思います đọc là gì?,おもいます,いいます,たります,かちます
14,Đọc kanji,Mina bài 21,2,言います đọc là gì?,Imasu c l g?,言います đọc là gì?,いいます,おもいます,まけます,やめます
14,Đọc kanji,Mina bài 21,3,意見 đọc là gì?,C l g?,意見 đọc là gì?,いけん,いげん,けんい,いみ
14,Đọc kanji,Mina bài 21,4,話 đọc là gì?,C l g?,話 đọc là gì?,はなし,はなします,わ,ことば
14,Đọc kanji,Mina bài 21,5,本当 đọc là gì?,C l g?,本当 đọc là gì?,ほんとう,ほんと,ほんどう,ほんだん
14,Đọc kanji,Mina bài 21,6,本当に đọc là gì?,Ni c l g?,本当に đọc là gì?,ほんとうに,ほんとに,ほんどうに,ほんだんに
14,Đọc kanji,Mina bài 21,7,足ります đọc là gì?,Rimasu c l g?,足ります đọc là gì?,たります,あしります,たりします,あります
14,Đọc kanji,Mina bài 21,8,役に立ちます đọc là gì?,Nichimasu c l g?,役に立ちます đọc là gì?,やくにたちます,やくにだちます,えきにたちます,やくたちます
14,Đọc kanji,Mina bài 21,9,不便 đọc là gì?,C l g?,不便 đọc là gì?,ふべん,ぶべん,べんり,ふへん
14,Đọc kanji,Mina bài 21,10,仕方がありません đọc là gì?,Gaarimasen c l g?,仕方がありません đọc là gì?,しかたがありません,しほうがありません,しかだがありません,しがたがありません
