group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,1,“lớp học” viết bằng kanji nào?,“lớp học” viet bang kanji nao?,“lớp học” viết bằng kanji nào?,教室,学校,会社,駅
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,2,“công ty” viết bằng kanji nào?,“công ty” viet bang kanji nao?,“công ty” viết bằng kanji nào?,会社,学校,教室,家
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,3,“trường học” viết bằng kanji nào?,“trường học” viet bang kanji nao?,“trường học” viết bằng kanji nào?,学校,会社,教室,本屋
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,4,“người đàn ông” viết bằng kanji nào?,“người đàn ông” viet bang kanji nao?,“người đàn ông” viết bằng kanji nào?,男の人,女の人,男の子,女の子
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,5,“người phụ nữ” viết bằng kanji nào?,“người phụ nữ” viet bang kanji nao?,“người phụ nữ” viết bằng kanji nào?,女の人,男の人,女の子,男の子
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,6,“bé trai” viết bằng kanji nào?,“bé trai” viet bang kanji nao?,“bé trai” viết bằng kanji nào?,男の子,女の子,男の人,女の人
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,7,“bé gái” viết bằng kanji nào?,“bé gái” viet bang kanji nao?,“bé gái” viết bằng kanji nào?,女の子,男の子,女の人,男の人
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,8,“cái gì” viết bằng kanji nào?,“cái gì” viet bang kanji nao?,“cái gì” viết bằng kanji nào?,何,誰,何処,時間
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,9,“ai” viết bằng kanji nào?,“ai” viet bang kanji nao?,“ai” viết bằng kanji nào?,誰,何,上,中
16,Chọn kanji đúng / người và nơi chốn,Mina bài 10,10,“gần” viết bằng kanji nào?,“gần” viet bang kanji nao?,“gần” viết bằng kanji nào?,近く,中,外,前
