group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
17,Phân biệt từ dễ nhầm,Mina bài 16,1,のります và おります khác nhau thế nào?,norimasu v orimasu kh c nhau th n o,Chọn cách phân biệt đúng.,のります là lên/đi phương tiện; おります là xuống phương tiện,のります là xuống; おります là lên,Cả hai đều là chuyển tuyến,Cả hai đều là bấm nút
17,Phân biệt từ dễ nhầm,Mina bài 16,2,入れます（いれます） và 入ります（はいります） khác nhau thế nào?,入 remasu iremasu v 入 rimasu hairimasu kh c nhau th n o,Chọn cách phân biệt đúng.,入れます là cho vào; 入ります là đi/vào,入れます là vào; 入ります là cho vào,Cả hai đều là lấy ra,Cả hai đều là xuống xe
17,Phân biệt từ dễ nhầm,Mina bài 16,3,出します（だします） và 出ます（でます） khác nhau thế nào?,出 shimasu dashimasu v 出 masu demasu kh c nhau th n o,Chọn cách phân biệt đúng.,出します là lấy ra/nộp; 出ます là ra/tốt nghiệp,出します là ra; 出ます là lấy ra,Cả hai đều là cho vào,Cả hai đều là lên xe
17,Phân biệt từ dễ nhầm,Mina bài 16,4,はいります và でます khác nhau thế nào?,hairimasu v demasu kh c nhau th n o,Chọn cách phân biệt đúng.,はいります là vào; でます là ra,はいります là ra; でます là vào,Cả hai đều là bấm,Cả hai đều là tắm
17,Phân biệt từ dễ nhầm,Mina bài 16,5,やめます và でます khác nhau thế nào?,yamemasu v demasu kh c nhau th n o,Chọn cách phân biệt đúng.,やめます là nghỉ/bỏ; でます là ra/tốt nghiệp,やめます là tốt nghiệp; でます là nghỉ,Cả hai đều là lên xe,Cả hai đều là chuyển tuyến
17,Phân biệt từ dễ nhầm,Mina bài 16,6,若い（わかい） và 長い（ながい） khác nhau thế nào?,若 i wakai v 長 i nagai kh c nhau th n o,Chọn cách phân biệt đúng.,若い là trẻ; 長い là dài,若い là dài; 長い là trẻ,Cả hai đều là ngắn,Cả hai đều là tối
17,Phân biệt từ dễ nhầm,Mina bài 16,7,長い（ながい） và 短い（みじかい） khác nhau thế nào?,長 i nagai v 短 i mijikai kh c nhau th n o,Chọn cách phân biệt đúng.,長い là dài; 短い là ngắn,長い là ngắn; 短い là dài,Cả hai đều là sáng,Cả hai đều là trẻ
17,Phân biệt từ dễ nhầm,Mina bài 16,8,明るい（あかるい） và 暗い（くらい） khác nhau thế nào?,明 rui akarui v 暗 i kurai kh c nhau th n o,Chọn cách phân biệt đúng.,明るい là sáng; 暗い là tối,明るい là tối; 暗い là sáng,Cả hai đều là cao,Cả hai đều là thông minh
17,Phân biệt từ dễ nhầm,Mina bài 16,9,髪（かみ） và 紙（かみ） khác nhau thế nào?,kami v kami kh c nhau th n o,Chọn cách phân biệt đúng.,髪 là tóc; 紙 là giấy,髪 là giấy; 紙 là tóc,Cả hai đều là mặt,Cả hai đều là tai
17,Phân biệt từ dễ nhầm,Mina bài 16,10,目（め） và 耳（みみ） khác nhau thế nào?,me v mimi kh c nhau th n o,Chọn cách phân biệt đúng.,目 là mắt; 耳 là tai,目 là tai; 耳 là mắt,Cả hai đều là miệng,Cả hai đều là răng
