group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
11,Điền vào câu,Mina bài 11,1,りんごが＿＿＿ あります。,ringoga arimasu,りんごが＿＿＿ あります。,ひとつ,ひとり,いってきます,かかります
11,Điền vào câu,Mina bài 11,2,みかんが＿＿＿ あります。,mikanga arimasu,みかんが＿＿＿ あります。,ふたつ,ふたり,～にん,どのくらい
11,Điền vào câu,Mina bài 11,3,サンドイッチが＿＿＿ あります。,sandoicchiga arimasu,サンドイッチが＿＿＿ あります。,みっつ,ひとり,さんにん,さんじかん
11,Điền vào câu,Mina bài 11,4,こどもが＿＿＿ います。,kodomoga imasu,こどもが＿＿＿ います。,ふたり,ふたつ,にまい,にだい
11,Điền vào câu,Mina bài 11,5,パソコンが 3＿＿＿ あります。,pasokonga arimasu,パソコンが 3＿＿＿ あります。,だい,にん,まい,かげつ
11,Điền vào câu,Mina bài 11,6,きってが 5＿＿＿ あります。,kittega arimasu,きってが 5＿＿＿ あります。,まい,だい,にん,じかん
11,Điền vào câu,Mina bài 11,7,日本（にほん）に 3＿＿＿ いました。,nihonni imashita,日本（にほん）に 3＿＿＿ いました。,ねん,まい,だい,ひとつ
11,Điền vào câu,Mina bài 11,8,がいこくに 2＿＿＿ いました。,gaikokuni imashita,がいこくに 2＿＿＿ いました。,しゅうかん,まい,だい,ひとつ
11,Điền vào câu,Mina bài 11,9,会社（かいしゃ）まで 1時間（いちじかん）＿＿＿ かかります。,kaishamade ichijikan kakarimasu,会社（かいしゃ）まで 1時間（いちじかん）＿＿＿ かかります。,ぐらい,だけ,ぜんぶで,みんな
11,Điền vào câu,Mina bài 11,10,りんごは いくつ＿＿＿。,ringoha ikutsu,りんごは いくつ＿＿＿。,ありますか,いますか,かかりますか,やすみますか
